分類,欄位ID,欄位名稱,單位,副欄位ID,副單位,欄位總稱,顯示規則
整體策略,Name,商品名稱,,,,,凍結欄位
整體策略,Number,序號,,,,,凍結欄位
整體策略,TradeDirection,進出場方向,,,,進出場價格,"雙列：進場在上，出場在下，系統判定填入買進或賣出
多/B（先買後賣）；空/S（先賣後買）"
整體策略,EntryDate,進場時間,,ExitDate,,進出場時間,"雙列：進場在上，出場在下
排序：進場時間 → 出場時間"
整體策略,EntryPrice,進場價格,元,ExitPrice,元,進出場價格,"雙列：進場在上，出場在下
排序：進場價格 → 出場價格
進場紅字、出場綠字"
整體策略,ReturnRate,報酬率,%,ProfitLoss,$,報酬率,"雙列：%在上，$在下，等比時改為單列顯示%
報酬率：正紅字、負綠字
排序：% → $
等比不顯示$，改為單列"
整體策略,NumberOfTrades,交易數量,股,,,,等比不顯示此欄位
整體策略,HoldingPeriod,持有區間,天,,,,
整體策略,PeriodHigh,區間最高價,元,PeriodLow,元,區間高低價,"雙列：最高價在上，最低價在下
排序：區間最高價 → 區間最低價
最高紅字、最低綠字"
整體策略,Signal,信號,,,,,"雙列：進場訊息在上，出場訊息在下
排序：進場信號 → 出場信號
若只有一列訊息則改為單列顯示"
單商品,Number,序號,,,,,凍結欄位
單商品,TradeDirection,進出場方向,,,,進出場價格,"雙列：進場在上，出場在下，系統判定填入買進或賣出
多/B（先買後賣）；空/S（先賣後買）"
單商品,EntryDate,進場時間,,ExitDate,,進出場時間,"雙列：進場在上，出場在下
排序：進場時間 → 出場時間"
單商品,EntryPrice,進場價格,元,ExitPrice,元,進出場價格,"雙列：進場在上，出場在下
排序：進場價格 → 出場價格
進場紅字、出場綠字"
單商品,ReturnRate,報酬率,%,ProfitLoss,$,報酬率,"雙列：%在上，$在下，等比時改為單列顯示%
報酬率：正紅字、負綠字
排序：% → $
等比不顯示$，改為單列"
單商品,NetProfit,累積報酬率,%,NetProfit_Amount,$,累積報酬率,"雙列：%在上，$在下，等比時改為單列顯示%
報酬率：正紅字、負綠字
排序：% → $
等比不顯示$，改為單列"
單商品,NumberOfTrades,交易數量,股,,,,等比不顯示此欄位
單商品,HoldingPeriod,持有區間,天,,,,
單商品,PeriodHigh,區間最高價,元,PeriodLow,元,區間高低價,"雙列：最高價在上，最低價在下
排序：區間最高價 → 區間最低價
最高紅字、最低綠字"
單商品,ConsecutiveTimes,連續次數,次,,,,賺紅字、賠綠字
單商品,Signal,信號,,,,,"雙列：進場訊息在上，出場訊息在下
排序：進場信號 → 出場信號
若只有一列訊息則改為單列顯示"
