欄位分類,欄位ID,欄位名稱,簡稱,單位,副欄位ID,副單位,顯示規則(大表),顯示規則(條列),Tooltip
全分類,Name,商品名稱,,,,,表格格式時不論分類永遠顯示在第一欄並凍結,不顯示,
商品置頂區,TimeWeightedRateOfReturn,時間加權報酬率,報酬率,%,NetProfit_Amount,$,不顯示,"等比$顯示空白
報酬率：正紅字、負綠字",時間加權：$是損益加總；%是去除資金因素後的調整報酬率，可以較好評估進出場的有效性
商品置頂區,MaxInvestRateOfReturn,最大投入報酬率,報酬率,%,NetProfit_Amount,$,不顯示,"等比$顯示空白
報酬率：正紅字、負綠字",最大投入：$是損益加總；%是以回測區間內，實際動用到的本金投入市場金額來計算的報酬率
商品置頂區,PercentProfitable,勝率,,%,NumberWinningTrades,次,不顯示,,獲利交易次數/總交易次數
商品置頂區,MaxRunUp,最大區間獲利,,%,MaxRunUp_Amount,$,不顯示,"等比$顯示空白
報酬率：正紅字、負綠字",列出報酬率曲線中，每一段自低點上漲區間的累積報酬率變化，取最大值
商品置頂區,MaxDrawdown,最大區間虧損,,%,MaxDrawdown_Amount,$,不顯示,"等比$顯示空白
報酬率：正紅字、負綠字",列出報酬率曲線中，每一段自高點回落區間的累積報酬率變化，取最小值
重點指標,TimeWeightedRateOfReturn,時間加權報酬率,報酬率,%,NetProfit_Amount,$,"雙列：%在上，$在下，等比時改為單列顯示%
報酬率：正紅字、負綠字
排序：% → $
等比不顯示$，改為單列","等比$顯示空白
報酬率：正紅字、負綠字",時間加權：$是損益加總；%是去除資金因素後的調整報酬率，可以較好評估進出場的有效性
重點指標,MaxInvestRateOfReturn,最大投入報酬率,報酬率,%,NetProfit_Amount,$,"雙列：%在上，$在下，等比時改為單列顯示%
報酬率：正紅字、負綠字
排序：% → $
等比不顯示$，改為單列","等比$顯示空白
報酬率：正紅字、負綠字",最大投入：$是損益加總；%是以回測區間內，實際動用到的本金投入市場金額來計算的報酬率
重點指標,MaxDrawdown,最大區間虧損,,%,MaxDrawdown_Amount,$,"雙列：%在上，$在下，等比時改為單列顯示%
報酬率：正紅字、負綠字
排序：% → $
等比不顯示$，改為單列","等比$顯示空白
報酬率：正紅字、負綠字",列出報酬率曲線中，每一段自高點回落區間的累積報酬率變化，取最小值
重點指標,PercentProfitable,勝率,,%,,,,,獲利交易次數/總交易次數
重點指標,TotalTradeCount,總交易次數,,次,,,,,回測內所產生的所有交易次數加總
重點指標,SimpleAnuualPercentageYield,平均年化報酬,,%,,,報酬率：正紅字、負綠字,報酬率：正紅字、負綠字,以簡單算術平均計算每年的報酬，不考慮波動對長期增長的影響
重點指標,GeometricAnuualPercentageYield,複利年化報酬,,%,,,報酬率：正紅字、負綠字,報酬率：正紅字、負綠字,以幾何平均計算每年的報酬，考慮複利與波動，反映資金的實際長期增長
重點指標,SharpeRatio,夏普比率,,,,,,,衡量每單位風險所獲得的超額報酬
利潤統計,TimeWeightedRateOfReturn,時間加權報酬率,報酬率,%,NetProfit_Amount,$,"雙列：%在上，$在下，等比時改為單列顯示%
報酬率：正紅字、負綠字
排序：% → $
等比不顯示$，改為單列","等比$顯示空白
報酬率：正紅字、負綠字",時間加權：$是損益加總；%是去除資金因素後的調整報酬率，可以較好評估進出場的有效性
利潤統計,MaxInvestRateOfReturn,最大投入報酬率,報酬率,%,NetProfit_Amount,$,"雙列：%在上，$在下，等比時改為單列顯示%
報酬率：正紅字、負綠字
排序：% → $
等比不顯示$，改為單列","等比$顯示空白
報酬率：正紅字、負綠字",最大投入：$是損益加總；%是以回測區間內，實際動用到的本金投入市場金額來計算的報酬率
利潤統計,SimpleAnuualPercentageYield,平均年化報酬,,%,,,報酬率：正紅字、負綠字,報酬率：正紅字、負綠字,以簡單算術平均計算每年的報酬，不考慮波動對長期增長的影響
利潤統計,GeometricAnuualPercentageYield,複利年化報酬,,%,,,報酬率：正紅字、負綠字,報酬率：正紅字、負綠字,以幾何平均計算每年的報酬，考慮複利與波動，反映資金的實際長期增長
利潤統計,GrossProfit,毛利,,%,GrossProfit_Amount,$,"雙列：%在上，$在下，等比時改為單列顯示%
報酬率：正紅字、負綠字
排序：% → $
等比不顯示$，改為單列","等比$顯示空白
報酬率：正紅字、負綠字",獲利加總
利潤統計,GrossLoss,毛損,,%,GrossLoss_Amount,$,"雙列：%在上，$在下，等比時改為單列顯示%
報酬率：正紅字、負綠字
排序：% → $
等比不顯示$，改為單列","等比$顯示空白
報酬率：正紅字、負綠字",虧損加總
