所屬圖,圖形名稱,顯示規則,ID,欄位名稱,資料來源,資料
主圖,報酬率圖,面積折線圖：上漲紅，下跌綠,NetProfit,策略報酬率,每日報表,策略累積報酬率
主圖,報酬率圖,"折線圖
可開關
副座標軸
等比不支援",NetProfit_Amount,淨值,每日報表,策略累積淨利
主圖,報酬率圖,"折線圖
可開關",TotalRate_BuyAndHold,買進持有報酬率,每日報表,買進持有報酬率
主圖,報酬率圖,"折線圖
可開關",TotalRate_Index,[基準指標]報酬率,每日報表,[基準指標]報酬率
主圖,報酬率圖,"折線圖
可開關",,依XQ傳入名稱,XQ,其他參考指標
副圖1,風險,"面積圖
等比顯示%","MaxDrawdown_Amount
等比：MaxDrawdown",最大區間虧損,每日報表,"最大區間虧損$
等比：最大區間虧損%"
副圖1,風險,"折線圖
可開關
等比顯示%","Drawdown_Amount
等比：Drawdown",區間虧損,每日報表,"區間虧損$
等比：區間虧損%"
副圖2,資金,"面積圖
等比不支援此副圖",MaxInvestAmount,最大投入金額,每日報表,最大投入金額$
副圖2,資金,"折線圖
可開關
等比不支援此副圖",InvestAmount,投入金額,每日報表,投入金額$
副圖3,交易,"累積柱狀圖，紅色
可開關",TodayEntryTradeCount,進場筆數,每日報表,進場筆數
副圖3,交易,"累積柱狀圖，綠色
可開關",TodayExitTradeCount,出場筆數,每日報表,出場筆數
副圖3,交易,"折線圖
可開關",UnRealizedTradeCount,持倉筆數,每日報表,持倉筆數
副圖4,商品,"柱狀圖
統一顯示藍色",UnRealizedSymbolCount,持倉商品數,每日報表,持有商品數
