Key,分類,ID,名稱,單位,備註,Tooltip文字
通用-Name,通用,Name,商品名稱,,,
通用-NetProfit_Amount,通用,NetProfit_Amount,淨利,$,不支援等比,
通用-TimeWeightedRateOfReturn,通用,TimeWeightedRateOfReturn,時間加權報酬率,%,,時間加權：$是損益加總；%是去除資金因素後的調整報酬率，可以較好評估進出場的有效性
通用-MaxInvestRateOfReturn,通用,MaxInvestRateOfReturn,最大投入報酬率,%,不支援等比,最大投入：$是損益加總；%是以回測區間內，實際動用到的本金投入市場金額來計算的報酬率
通用-BuyAndHoldRateOfReturn,通用,BuyAndHoldRateOfReturn,買進持有報酬,%,不支援單商品統計,評估策略、比較績效用。不考慮進出場訊號，單純在回測區間內持有回測商品可獲得的報酬率
通用-IndexRateOfReturn,通用,IndexRateOfReturn,[基準指標]報酬,%,不支援單商品統計,評估策略、比較績效用，基準指標在回測區間的報酬率
通用-MaxInvestAmount,通用,MaxInvestAmount,最大投入金額,$,不支援等比,最大投入市場的資金總額
通用-GrossProfit,通用,GrossProfit,毛利,%,,獲利加總
通用-GrossProfit_Amount,通用,GrossProfit_Amount,毛利,$,不支援等比,獲利加總
通用-GrossLoss,通用,GrossLoss,毛損,%,,虧損加總
通用-GrossLoss_Amount,通用,GrossLoss_Amount,毛損,$,不支援等比,虧損加總
通用-ProfitFactor,通用,ProfitFactor,獲利因子,,賺賠比,毛利/ABS(毛損)×SIGN(淨利)；ABS為絕對值；SIGN為數值的正負號
通用-TotalTransactionCost,通用,TotalTransactionCost,總交易成本,%,,每筆交易的單筆手續費加總
通用-TotalTransactionCost_Amount,通用,TotalTransactionCost_Amount,總交易成本,$,不支援等比,每筆交易的單筆手續費加總
通用-TotalTradeCount,通用,TotalTradeCount,總交易次數,次,,回測內所產生的所有交易次數加總
通用-NumberWinningTrades,通用,NumberWinningTrades,獲利交易次數,次,,獲利交易次數加總
通用-NumberLosingTrades,通用,NumberLosingTrades,虧損交易次數,次,,虧損交易次數加總
通用-AvgTrade,通用,AvgTrade,平均交易,%,,淨利/交易次數
通用-AvgTrade_Amount,通用,AvgTrade_Amount,平均交易,$,不支援等比,淨利/交易次數
通用-AvgWinTrade,通用,AvgWinTrade,平均獲利交易,%,,毛利/獲利交易次數
通用-AvgWinTrade_Amount,通用,AvgWinTrade_Amount,平均獲利交易,$,不支援等比,毛利/獲利交易次數
通用-AvgLossTrade,通用,AvgLossTrade,平均虧損交易,%,,毛損/虧損交易次數
通用-AvgLossTrade_Amount,通用,AvgLossTrade_Amount,平均虧損交易,$,不支援等比,毛損/虧損交易次數
通用-RatioAvgWinAvgLoss,通用,RatioAvgWinAvgLoss,平均獲利虧損比,,,ABS(平均獲利交易/平均虧損交易)；ABS為絕對值
通用-LargestWinTrade,通用,LargestWinTrade,最大獲利交易,%,,所有報酬率>0(賺錢)的交易中，報酬率最大(賺最多)就是最大獲利交易
通用-LargestWinTrade_Amount,通用,LargestWinTrade_Amount,最大獲利交易,$,不支援等比,所有報酬率>0(賺錢)的交易中，報酬率最大(賺最多)就是最大獲利交易
通用-LargestLosingTrade,通用,LargestLosingTrade,最大虧損交易,%,,所有報酬率<0(賠錢)的交易中，報酬率最小(賠最多)就是最大虧損交易
通用-LargestLosingTrade_Amount,通用,LargestLosingTrade_Amount,最大虧損交易,$,不支援等比,所有報酬率<0(賠錢)的交易中，報酬率最小(賠最多)就是最大虧損交易
通用-MaxConsecutiveProfit,通用,MaxConsecutiveProfit,最大連續獲利,%,,每次單筆報酬率由負轉正後的連續獲利報酬率加總，取最大值
通用-MaxConsecutiveProfit_Amount,通用,MaxConsecutiveProfit_Amount,最大連續獲利,$,不支援等比,每次單筆報酬率由正轉負後的連續虧損報酬率加總，取最小值
通用-MaxConsecutiveLoss,通用,MaxConsecutiveLoss,最大連續虧損,%,,每次淨利變化由正轉負後的連續虧損最大值，也就是連續虧損加總的最大值
通用-MaxConsecutiveLoss_Amount,通用,MaxConsecutiveLoss_Amount,最大連續虧損,$,不支援等比,每次淨利變化由正轉負後的連續虧損最大值，也就是連續虧損加總的最大值
