商品統計表,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
商品名稱,淨利,毛利,獲利因子,毛損,總交易成本,最大投入金額,總交易次數,獲利交易次數,勝率,虧損交易次數,平均交易,平均獲利交易,平均獲利虧損比,平均虧損交易,最大獲利交易,最大虧損交易,最大區間獲利,最大區間虧損,全部交易的平均持倉K線根數,獲利交易的平均持倉K線根數,回測K線根數,虧損交易的平均持倉K線根數,時間加權報酬,最大投入報酬率,買進持有報酬,大盤指數報酬
Agilent(A.US),26,96,1.37,-70,0,144.04,27,11,40.74%,16,1,9,2.00,-4,21,-15,60,-26,14.93,23.45,752,9.06,"21,608",26,"-13,206","165,565"
,0.03%,0.10%,,-0.07%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.02%,-0.01%,0.06%,-0.03%,,,,,21.61%,18.21%,-13.21%,165.57%
Apple(AAPL.US),18,130,1.16,-112,0,259.34,33,12,36.36%,21,1,11,2.04,-5,21,-21,66,-51,13.06,16.67,752,11.00,"4,992",18,"65,558","165,565"
,0.02%,0.13%,,-0.11%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.02%,-0.02%,0.07%,-0.05%,,,,,4.99%,7.05%,65.56%,165.57%
AbbVie(ABBV.US),-4,117,-0.97,-121,0,207.8,25,9,36.00%,16,-0,13,1.73,-8,33,-19,68,-64,15.04,21.56,752,11.38,"2,001",-4,"23,331","165,565"
,-0.00%,0.12%,,-0.12%,0.00%,,,,,,-0.00%,0.01%,,-0.01%,0.03%,-0.02%,0.07%,-0.06%,,,,,2.00%,-1.68%,23.33%,165.57%
Airbnb(ABNB.US),27,105,1.35,-77,0,132.78,28,12,42.86%,16,1,9,1.80,-5,19,-10,53,-41,14.11,21.17,752,8.81,"28,672",27,"24,799","165,565"
,0.03%,0.10%,,-0.08%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.02%,-0.01%,0.05%,-0.04%,,,,,28.67%,20.51%,24.80%,165.57%
Abbott(ABT.US),-10,50,-0.83,-60,0,132.23,34,11,32.35%,23,-0,5,1.74,-3,15,-7,30,-33,12.50,20.82,752,8.52,"-7,938",-10,"-17,942","165,565"
,-0.01%,0.05%,,-0.06%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.02%,-0.01%,0.03%,-0.03%,,,,,-7.94%,-7.71%,-17.94%,165.57%
Arch Capital Group(ACGL.US),8,45,1.22,-37,0,93.12,31,12,38.71%,19,0,4,1.93,-2,12,-5,23,-26,12.45,20.08,752,7.63,"14,252",8,"41,382","165,565"
,0.01%,0.05%,,-0.04%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.02%,-0.03%,,,,,14.25%,8.77%,41.38%,165.57%
Accenture(ACN.US),-27,182,-0.87,-210,0,337.79,31,11,35.48%,20,-1,17,1.58,-10,32,-30,66,-93,14.35,21.09,752,10.65,"-14,538",-27,"-31,073","165,565"
