回測整體統計,,,,,,
,,,,,,
回測資料範圍,2023/04/22 - 2026/04/22 (日資料) (逐筆洗價)  (觸發即判斷成交),,,,,
執行商品個數,"指數成份股-S＆P500(組合);2,G04010  503(成功)0(失敗)",,,,,
回測執行時間,"2026/04/23 15:08 (總時間: 2分4秒, 準備時間 6秒, 回測時間: 1分58秒)",,,,,
交易腳本,DIF-MACD從負翻正,,,,,
初始資金,10萬元,,,,,
交易費用,股票0%(成交金額)、期貨 0 元(口),,,,,
,,,,,,
項目,全部,,做多,,做空,
淨利,"14,463",14.46%,"14,463",14.46%,0,0.00%
毛利,"73,090",73.09%,"73,090",73.09%,0,0.00%
獲利因子,1.25,,1.25,,n/a,
毛損,"-58,630",-58.63%,"-58,630",-58.63%,0,0.00%
總交易成本,0,0.00%,0,0.00%,0,0.00%
最大投入金額,"86,481.96",,"86,481.96",,"95,620",
總交易次數,14399,,14399,,0,
獲利交易次數,5603,,5603,,0,
勝率,38.91%,,38.91%,,0.00%,
虧損交易次數,8796,,8796,,0,
平均交易,1,0.00%,1,0.00%,0,0.00%
平均獲利交易,13,0.01%,13,0.01%,0,0.00%
平均獲利虧損比,1.96,,1.96,,0.00,
平均虧損交易,-7,-0.01%,-7,-0.01%,0,0.00%
最大獲利交易,696,0.70%,696,0.70%,0,0.00%
最大虧損交易,-479,-0.48%,-479,-0.48%,0,0.00%
最大區間獲利,"16,946",16.95%,"16,946",16.95%,"16,946",16.95%
最大區間虧損,"-10,891",-10.89%,"-10,891",-10.89%,"-10,891",-10.89%
全部交易的平均持倉K線根數,13.89,,13.89,,0.00,
獲利交易的平均持倉K線根數,20.97,,20.97,,0.00,
回測K線根數,752,,752,,752,
虧損交易的平均持倉K線根數,9.38,,9.38,,0.00,
時間加權報酬,"9,403",9.40%,"9,403",9.40%,0,0.00%
最大投入報酬率,"14,463",16.72%,"14,463",16.72%,0,0.00%
買進持有報酬,"101,216",101.22%,"101,216",101.22%,"101,216",101.22%
大盤指數報酬,"165,565",165.57%,"165,565",165.57%,"165,565",165.57%
,,,,,,
執行失敗商品,,,,,,
商品名稱,狀態,說明,,,,
,,,,,,
最大持倉報酬率圖,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
時間加權報酬率圖,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
淨利曲線圖,,,,,,
