日期,獲利,總獲利,最大投入金額,商品檔數
2023/04/24,-7.02,-7.02,"1,012",9
2023/04/25,-30.46,-37.48,"1,603",13
2023/04/26,-6.72,-44.2,"2,042",16
2023/04/27,52.19,7.99000000000001,"3,791.95",24
2023/04/28,83.73,91.72,"10,413.32",63
2023/05/01,-27.28,64.44,"17,410.32",98
2023/05/02,-141.64,-77.2,"19,891.86",112
2023/05/03,-169.16,-246.36,"24,790.05",107
2023/05/04,-230.85,-477.21,"24,923.83",102
2023/05/05,283.37,-193.84,"25,011.23",104
2023/05/08,5.86,-187.98,"27,699.26",126
2023/05/09,29.98,-158,"28,387.27",138
2023/05/10,-35.21,-193.21,"29,553.91",153
2023/05/11,-99.3099999999999,-292.52,"29,868.4",155
2023/05/12,0.960000000000004,-291.56,"30,816.15",158
2023/05/15,155.02,-136.54,"31,269.71",163
2023/05/16,-258.96,-395.5,"32,540.54",182
2023/05/17,258.38,-137.12,"32,540.54",183
2023/05/18,329.62,192.5,"34,582.51",204
2023/05/19,-211.9,-19.4000000000002,"41,631.2",250
2023/05/22,-83.8799999999999,-103.28,"43,712.65",263
2023/05/23,-708.300000000001,-811.580000000001,"43,712.65",262
2023/05/24,-467.75,"-1,279.33","43,712.65",249
2023/05/25,332.14,-947.190000000001,"43,712.65",222
2023/05/26,426.48,-520.710000000001,"43,712.65",211
2023/05/30,-47.91,-568.620000000001,"43,712.65",212
2023/05/31,-440.65,"-1,009.27","43,712.65",212
2023/06/01,227.1,-782.17,"43,712.65",208
2023/06/02,628.87,-153.3,"43,712.65",242
2023/06/05,-300.36,-453.66,"49,494.77",296
2023/06/06,275.1,-178.560000000001,"54,367.36",340
2023/06/07,225.95,47.3899999999994,"57,193.88",362
2023/06/08,132.29,179.68,"57,847.95",369
2023/06/09,-62.09,117.59,"57,847.95",366
2023/06/12,483.54,601.13,"58,721.09",374
2023/06/13,574.54,"1,175.67","60,027.9",380
2023/06/14,-196.68,978.99,"61,892.9",390
2023/06/15,861.72,"1,840.71","63,173.25",403
2023/06/16,-67.01,"1,773.7","64,959.55",404
2023/06/20,-508.65,"1,265.05","64,959.55",401
2023/06/21,34.06,"1,299.11","64,959.55",386
2023/06/22,-148.21,"1,150.9","64,959.55",365
2023/06/23,-221.38,929.519999999999,"64,959.55",324
2023/06/26,131.9,"1,061.42","64,959.55",281
2023/06/27,500.36,"1,561.78","64,959.55",255
2023/06/28,-61.9,"1,499.88","64,959.55",255
2023/06/29,318.04,"1,817.92","64,959.55",262
2023/06/30,451.59,"2,269.51","64,959.55",291
2023/07/03,-161.86,"2,107.65","64,959.55",328
2023/07/05,-277.79,"1,829.86","64,959.55",340
2023/07/06,-587,"1,242.86","64,959.55",323
2023/07/07,-79.0799999999999,"1,163.78","64,959.55",270
2023/07/10,334.21,"1,497.99","64,959.55",256
2023/07/11,327.34,"1,825.33","64,959.55",263
2023/07/12,181.18,"2,006.51","64,959.55",303
2023/07/13,143.97,"2,150.48","64,959.55",320
2023/07/14,-129.4,"2,021.08","64,959.55",329
2023/07/17,179.23,"2,200.31","64,959.55",328
2023/07/18,266,"2,466.31","64,959.55",321
2023/07/19,41.67,"2,507.98","64,959.55",314
2023/07/20,-447.29,"2,060.69","64,959.55",320
2023/07/21,161.92,"2,222.61","64,959.55",316
2023/07/24,41.92,"2,264.53","64,959.55",303
2023/07/25,38.37,"2,302.9","64,959.55",288
2023/07/26,20.72,"2,323.62","64,959.55",267
2023/07/27,-348.86,"1,974.76","64,959.55",272
2023/07/28,120.1,"2,094.86","64,959.55",252
2023/07/31,33.33,"2,128.19","64,959.55",231
2023/08/01,-48.93,"2,079.26","64,959.55",224
2023/08/02,-256.01,"1,823.25","64,959.55",214
2023/08/03,-3.27000000000001,"1,819.98","64,959.55",181
2023/08/04,-649.38,"1,170.6","64,959.55",162
2023/08/07,261.47,"1,432.07","64,959.55",158
2023/08/08,-155.41,"1,276.66","64,959.55",152
2023/08/09,-71.63,"1,205.03","64,959.55",141
2023/08/10,24.51,"1,229.54","64,959.55",146
2023/08/11,74.51,"1,304.05","64,959.55",143
2023/08/14,73.2400000000001,"1,377.29","64,959.55",138
2023/08/15,-201.37,"1,175.92","64,959.55",129
2023/08/16,-117.06,"1,058.86","64,959.55",115
2023/08/17,-182.99,875.87,"64,959.55",97
2023/08/18,55.47,931.34,"64,959.55",87
2023/08/21,53.57,984.91,"64,959.55",76
2023/08/22,-15.76,969.15,"64,959.55",80
2023/08/23,110.08,"1,079.23","64,959.55",94
2023/08/24,-328.08,751.15,"64,959.55",126
2023/08/25,148.43,899.58,"64,959.55",139
2023/08/28,133.28,"1,032.86","64,959.55",176
2023/08/29,452.83,"1,485.69","64,959.55",223
2023/08/30,275.26,"1,760.95","64,959.55",276
2023/08/31,-151.01,"1,609.94","64,959.55",323
2023/09/01,327.89,"1,937.83","64,959.55",360
2023/09/05,-913.18,"1,024.65","64,959.55",357
2023/09/06,0.960000000000133,"1,025.61","64,959.55",328
2023/09/07,-156.15,869.46,"64,959.55",288
2023/09/08,-159.08,710.38,"64,959.55",277
2023/09/11,153.83,864.21,"64,959.55",280
2023/09/12,-412.14,452.069999999999,"64,959.55",283
2023/09/13,-9.51000000000001,442.559999999999,"64,959.55",278
2023/09/14,354.64,797.199999999999,"64,959.55",269
2023/09/15,-444.66,352.539999999999,"64,959.55",283
2023/09/18,-52.75,299.789999999999,"64,959.55",274
2023/09/19,-90.15,209.639999999999,"64,959.55",260
2023/09/20,-93.7100000000001,115.929999999999,"64,959.55",260
2023/09/21,-434.32,-318.390000000001,"64,959.55",251
2023/09/22,-73.32,-391.710000000002,"64,959.55",208
